scope,profile,map,n,score_leads,score_lead_ci_low,score_lead_ci_high,collapses,score_mean,score_ci_low,score_ci_high,population_mean,prosperity_mean,stability_mean,technologies_mean,trade_dependency_mean,trade_imported_mean,mobilized_mean,war_casualties_mean,army_value_mean,kills_value_mean,deaths_value_mean,active_wars_mean
profile,aggressor,all,112,29,0.1868,0.3471,12,67187.232,61258.723,73087.128,897.67,879.062,853.027,0.938,4.455,1.232,33.875,16.616,8315.625,19054.464,12025.0,0.062
profile,economist,all,112,31,0.2024,0.366,0,78184.259,71855.499,84541.714,1006.786,936.33,824.562,1.0,2.384,0.58,159.812,17.214,14341.518,9933.482,9636.161,1.027
profile,technologist,all,112,20,0.1187,0.2598,2,67175.259,61132.63,73197.6,980.562,928.036,786.438,0.991,0.0,0.0,134.071,25.152,11924.554,9338.839,14948.214,1.25
profile,fortress,all,112,32,0.2102,0.3754,1,81868.607,76276.223,87621.706,1030.679,954.455,923.114,0.991,0.42,0.089,94.357,10.964,17445.089,4746.429,6463.839,0.25
profile-map,aggressor,Cold Rage,28,16,0.3907,0.7349,2,72264.929,62138.967,81680.979,935.964,913.536,886.357,0.964,0.0,0.0,37.214,14.893,9105.357,19819.643,10157.143,0.036
profile-map,aggressor,Doubles,28,2,0.0198,0.2265,9,43801.357,32611.34,55220.421,678.464,673.286,655.679,0.786,11.393,3.357,12.536,16.393,3444.643,20196.429,16450.0,0.0
profile-map,aggressor,Tournament Island,28,4,0.057,0.3149,1,79110.571,67679.571,90350.469,965.107,948.071,923.607,1.0,0.0,0.0,39.321,22.321,10017.857,18810.714,13780.357,0.107
profile-map,aggressor,Yet Another Beautiful Winter,28,7,0.1268,0.4336,0,73572.071,62772.65,83461.749,1011.143,981.357,946.464,1.0,6.429,1.571,46.429,12.857,10694.643,17391.071,7712.5,0.107
profile-map,economist,Cold Rage,28,6,0.1021,0.3954,0,60010.0,52841.411,66697.871,1007.893,942.179,832.071,1.0,0.0,0.0,145.357,16.107,12039.286,7958.929,9107.143,1.0
profile-map,economist,Doubles,28,10,0.2071,0.5417,0,85267.857,73082.231,97380.873,1002.357,935.893,823.643,1.0,0.0,0.0,159.821,21.643,14730.357,12280.357,11969.643,1.0
profile-map,economist,Tournament Island,28,10,0.2071,0.5417,0,103491.179,88867.476,117022.937,1006.107,927.679,813.714,1.0,0.0,0.0,181.536,17.893,17550.0,13189.286,10144.643,1.036
profile-map,economist,Yet Another Beautiful Winter,28,5,0.0788,0.3559,0,63968.0,53925.98,74270.166,1010.786,939.571,828.821,1.0,9.536,2.321,152.536,13.214,13046.429,6305.357,7323.214,1.071
profile-map,technologist,Cold Rage,28,1,0.0063,0.1771,0,42088.357,36100.361,48007.137,1001.036,961.107,814.679,1.0,0.0,0.0,96.571,22.964,7975.0,7008.929,13417.857,1.286
profile-map,technologist,Doubles,28,8,0.1525,0.4706,0,79561.429,68191.14,91068.446,994.214,941.929,807.321,1.0,0.0,0.0,142.857,29.786,12473.214,14175.0,17176.786,1.143
profile-map,technologist,Tournament Island,28,4,0.057,0.3149,2,82968.75,71757.693,94428.257,923.5,870.964,724.536,0.964,0.0,0.0,142.25,27.357,13341.071,10108.929,17314.286,1.321
profile-map,technologist,Yet Another Beautiful Winter,28,7,0.1268,0.4336,0,64082.5,53595.352,75194.047,1003.5,938.143,799.214,1.0,0.0,0.0,154.607,20.5,13908.929,6062.5,11883.929,1.25
profile-map,fortress,Cold Rage,28,5,0.0788,0.3559,1,59251.357,51483.34,67652.761,1013.964,933.411,904.139,0.964,0.0,0.0,80.107,9.179,14757.143,4017.857,6123.214,0.25
profile-map,fortress,Doubles,28,8,0.1525,0.4706,0,91323.321,80574.129,101513.888,1083.679,964.947,943.14,1.0,0.0,0.0,94.357,11.75,19051.786,5528.571,6583.929,0.143
profile-map,fortress,Tournament Island,28,10,0.2071,0.5417,0,101558.214,89858.583,111932.973,1012.214,958.0,919.929,1.0,0.0,0.0,105.75,11.786,18508.929,6075.0,6944.643,0.321
profile-map,fortress,Yet Another Beautiful Winter,28,9,0.1793,0.5066,0,75341.536,66811.06,83077.601,1012.857,961.464,925.25,1.0,1.679,0.357,97.214,11.143,17462.5,3364.286,6203.571,0.286
