match,map,seed,winner,aggressor_score,economist_score,technologist_score,fortress_score
1,Cold Rage,20260730,aggressor,13102,12183,12972,13052
2,Doubles,20260731,fortress,12926,12986,12926,13376
3,Tournament Island,20260732,economist,11788,13542,12785,11969
4,Yet Another Beautiful Winter,20260733,technologist,12640,11780,13060,12175
5,Cold Rage,20260734,aggressor,13808,13456,12946,13336
6,Doubles,20260735,economist,13400,13500,12900,12701
7,Tournament Island,20260736,technologist,12812,12048,13752,12003
8,Yet Another Beautiful Winter,20260737,fortress,12508,11503,11568,12982
9,Cold Rage,20260738,aggressor,13340,12820,12460,12960
10,Doubles,20260739,technologist,11960,11985,13815,13805
