scenario,run_id,map_set,seeds,max_world_ticks,workers,exit_code,completed,interrupted,invalid_configuration,actual_retries,total_attempts,elapsed_wall_seconds,resume_skips,replays,retained_failure_support,code_commit,engine_commit,git_dirty,observed,result
smoke-replay,smoke-v1,"coldrage;doubles;tournament-island;abwinter","424242-424245",500,1,0,4,0,0,0,4,16.548,0,4,0,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"all four replays readable with FinalGameTick=500; hashes 52A8D8F4,6FCA22C7,E2FDCBB1,F5D0ED14",pass
sequential-soak,soak-100-v1,"coldrage;doubles;tournament-island;abwinter","6001-6100",100,1,0,100,0,0,0,100,364.466,0,0,0,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"100 configs/results/statuses/attempt records; no retained success support directories",pass
sequential-resume,soak-100-v1,"coldrage;doubles;tournament-island;abwinter","6001-6100",100,1,0,100,0,0,0,100,364.653,100,0,0,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"resume added no attempts; cumulative active runner time preserved",pass
parallel-soak,soak-100-v1,"coldrage;doubles;tournament-island;abwinter","6001-6100",100,4,0,100,0,0,0,100,98.061,0,0,0,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"3.717x speedup versus sequential; 92.9 percent four-worker efficiency",pass
parallel-resume,soak-100-v1,"coldrage;doubles;tournament-island;abwinter","6001-6100",100,4,0,100,0,0,0,100,98.255,100,0,0,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"resume added no attempts; all completed artifacts remained valid",pass
signal-interrupt,interruption-v1,"coldrage;doubles;tournament-island;abwinter","5001-5004",500,2,130,2,2,0,0,4,4.971,0,0,2,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"SIGINT terminated two active process groups and retained their support logs; no child process remained",pass
signal-resume,interruption-v1,"coldrage;doubles;tournament-island;abwinter","5001-5004",500,2,0,4,0,0,0,6,10.266,2,0,2,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"completed attempts stayed at 1; interrupted matches completed as attempt 2",pass
invalid-isolation,isolation-v1,"coldrage;doubles","5101-5102",250,2,2,1,0,1,0,2,4.035,0,0,1,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"invalid bot was terminal despite retry budget 2; valid neighbor completed; failure support logs retained",pass
integration-tests,synthetic-fixtures,"valid;flaky;invalid;hang;interrupt-once","10-30",50,2,0,,,,,,,0,,,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"7 tests: retry, failure isolation, manifest guard, drift rejection, partial-attempt preservation, hard timeout, two signal paths",pass
openhv-tests,repository,"all supported maps",,,,,,,,,,,,,,5f1162f1c767e79148ef775279b5e87a4b83dc9f,12f7ca7324a8dfc2e92a03d207a37b5bb905f923,false,"Release build, MiniYAML, map, Fluent, sprite sequence, explicit-interface, conditional-trait checks",pass
