profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.054,-0.027,0.134,0
aggressor,collapsed,0.027,-0.018,0.08,0
aggressor,score,-2259.545,-6648.403,2093.664,0
aggressor,population,-26.42,-72.251,18.625,0
aggressor,prosperity,-26.938,-72.045,18.903,0
aggressor,stability,-27.571,-72.627,16.688,0
aggressor,armyValue,-286.607,-1002.344,419.766,0
aggressor,killsValue,-997.768,-2046.953,177.935,0
aggressor,deathsValue,485.268,-300.915,1264.286,0
aggressor,completedTechnologies,0.0,-0.027,0.027,0
aggressor,researchInputSpent,-0.75,-2.0,0.339,0
aggressor,mobilized,0.348,-1.84,2.536,0
aggressor,availableWorkforce,-16.75,-46.663,11.045,0
aggressor,warCasualties,-1.009,-2.786,0.536,0
aggressor,activeWars,-0.009,-0.062,0.036,0
aggressor,plannerRequests,-0.018,-0.071,0.027,0
aggressor,targetSelections,-0.92,-4.813,3.045,0
aggressor,retreats,0.054,-0.232,0.339,0
aggressor,regroups,-0.152,-1.125,0.777,0
aggressor,reengagements,-0.107,-1.045,0.84,0
economist,scoreLead,-0.045,-0.134,0.045,0
economist,collapsed,0.0,0.0,0.0,0
economist,score,-2717.045,-6789.162,1204.797,0
economist,population,-0.5,-2.358,1.268,0
economist,prosperity,-1.259,-4.348,1.804,0
economist,stability,1.429,-1.893,5.241,0
economist,armyValue,-169.643,-1074.129,705.022,0
economist,killsValue,-591.071,-1722.344,459.888,0
economist,deathsValue,349.107,-556.373,1321.496,0
economist,completedTechnologies,-0.009,-0.045,0.018,0
economist,researchInputSpent,0.089,-0.411,0.589,0
economist,mobilized,2.92,-4.233,10.617,0
economist,availableWorkforce,-3.42,-11.1,3.817,0
economist,warCasualties,0.5,-1.286,2.322,0
economist,activeWars,-0.027,-0.062,0.0,0
economist,plannerRequests,0.0,0.0,0.0,0
economist,targetSelections,-1.616,-3.536,0.277,0
economist,retreats,0.071,-0.045,0.205,0
economist,regroups,0.062,-0.152,0.268,0
economist,reengagements,0.018,-0.152,0.188,0
technologist,scoreLead,0.027,-0.045,0.098,0
technologist,collapsed,0.009,-0.045,0.062,0
technologist,score,729.33,-4089.339,5755.936,0
technologist,population,-8.777,-63.47,47.558,0
technologist,prosperity,-9.013,-63.481,37.836,0
technologist,stability,-6.448,-48.056,34.832,0
technologist,armyValue,-115.179,-1166.105,985.123,0
technologist,killsValue,1293.304,-46.998,2682.768,0
technologist,deathsValue,-56.25,-1287.612,1212.087,0
technologist,completedTechnologies,0.027,-0.071,0.125,0
technologist,researchInputSpent,1.5,0.196,3.054,1
technologist,mobilized,-0.768,-9.134,7.438,0
technologist,availableWorkforce,-4.67,-40.546,31.741,0
technologist,warCasualties,-0.366,-3.277,2.564,0
technologist,activeWars,-0.018,-0.08,0.036,0
technologist,plannerRequests,0.009,-0.098,0.116,0
technologist,targetSelections,1.902,-1.705,5.608,0
technologist,retreats,0.161,-0.098,0.411,0
technologist,regroups,0.179,-0.071,0.438,0
technologist,reengagements,-0.054,-0.259,0.152,0
fortress,scoreLead,-0.036,-0.125,0.054,0
fortress,collapsed,-0.009,-0.027,0.0,0
fortress,score,2755.482,-1838.979,7329.443,0
fortress,population,8.473,-1.616,27.197,0
fortress,prosperity,11.741,0.303,30.886,1
fortress,stability,6.777,-5.546,25.516,0
fortress,armyValue,-698.214,-1544.085,156.306,0
fortress,killsValue,1165.179,-125.067,2564.654,0
fortress,deathsValue,91.518,-768.493,896.964,0
fortress,completedTechnologies,0.0,-0.062,0.062,0
fortress,researchInputSpent,0.321,-0.411,1.054,0
fortress,mobilized,-7.17,-17.125,2.304,0
fortress,availableWorkforce,12.304,0.47,26.859,1
fortress,warCasualties,0.67,-0.92,2.42,0
fortress,activeWars,0.018,-0.027,0.062,0
fortress,plannerRequests,-0.009,-0.027,0.0,0
fortress,targetSelections,-0.848,-2.67,1.08,0
fortress,retreats,-0.027,-0.116,0.062,0
fortress,regroups,0.0,-0.107,0.107,0
fortress,reengagements,-0.009,-0.089,0.062,0
