profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.036,-0.045,0.116,0
aggressor,collapsed,-0.116,-0.179,-0.062,1
aggressor,score,19700.366,12957.944,26105.133,1
aggressor,population,136.589,82.801,198.715,1
aggressor,prosperity,107.491,54.115,170.58,1
aggressor,stability,246.143,197.534,300.394,1
aggressor,armyValue,12791.518,11418.047,14184.208,1
aggressor,killsValue,-13256.25,-14878.404,-11730.346,1
aggressor,deathsValue,-12729.464,-13912.567,-11494.978,1
aggressor,completedTechnologies,0.116,0.018,0.223,1
aggressor,researchInputSpent,2.625,1.946,3.286,1
aggressor,mobilized,22.268,15.579,28.938,1
aggressor,availableWorkforce,70.911,36.622,107.564,1
aggressor,warCasualties,-17.732,-20.259,-15.277,1
aggressor,activeWars,-1.429,-1.589,-1.268,1
aggressor,plannerRequests,0.554,0.446,0.661,1
aggressor,targetSelections,-33.018,-37.241,-29.107,1
aggressor,retreats,-1.732,-2.098,-1.375,1
aggressor,regroups,-4.393,-5.804,-3.062,1
aggressor,reengagements,-3.223,-4.706,-1.982,1
economist,scoreLead,-0.134,-0.241,-0.027,1
economist,collapsed,0.027,0.0,0.062,0
economist,score,-1826.08,-8624.783,4812.403,0
economist,population,-30.589,-67.286,-3.384,1
economist,prosperity,-19.125,-53.525,6.664,0
economist,stability,36.411,2.595,63.018,1
economist,armyValue,-1194.643,-2585.357,224.174,0
economist,killsValue,-885.268,-2092.946,359.074,0
economist,deathsValue,1995.536,818.259,3179.531,1
economist,completedTechnologies,0.071,0.018,0.125,1
economist,researchInputSpent,2.804,1.911,3.733,1
economist,mobilized,-19.643,-27.92,-12.107,1
economist,availableWorkforce,-0.929,-22.085,17.018,0
economist,warCasualties,3.161,1.152,5.188,1
economist,activeWars,-0.598,-0.714,-0.482,1
economist,plannerRequests,0.027,0.0,0.062,0
economist,targetSelections,1.75,-0.866,4.643,0
economist,retreats,0.527,0.304,0.759,1
economist,regroups,0.562,0.295,0.83,1
economist,reengagements,0.482,0.277,0.714,1
technologist,scoreLead,0.098,-0.009,0.205,0
technologist,collapsed,-0.062,-0.116,-0.018,1
technologist,score,9880.759,2108.195,17471.568,1
technologist,population,73.884,28.051,127.609,1
technologist,prosperity,60.545,23.152,107.514,1
technologist,stability,106.164,65.051,152.283,1
technologist,armyValue,4958.036,3427.533,6437.154,1
technologist,killsValue,-4037.5,-4880.167,-3216.953,1
technologist,deathsValue,-7358.929,-8667.121,-6098.65,1
technologist,completedTechnologies,0.152,0.054,0.268,1
technologist,researchInputSpent,5.929,3.482,8.644,1
technologist,mobilized,3.429,-6.108,10.983,0
technologist,availableWorkforce,47.08,19.571,80.255,1
technologist,warCasualties,-9.884,-11.991,-7.714,1
technologist,activeWars,-0.375,-0.482,-0.277,1
technologist,plannerRequests,0.848,0.759,0.929,1
technologist,targetSelections,-11.893,-15.259,-8.562,1
technologist,retreats,-0.804,-1.098,-0.527,1
technologist,regroups,-0.911,-1.188,-0.625,1
technologist,reengagements,-0.562,-0.812,-0.312,1
fortress,scoreLead,0.0,-0.107,0.107,0
fortress,collapsed,-0.009,-0.027,0.0,0
fortress,score,1726.723,-4029.708,7586.859,0
fortress,population,14.321,-4.322,42.17,0
fortress,prosperity,16.799,5.5,36.975,1
fortress,stability,53.544,36.328,75.056,1
fortress,armyValue,-2077.232,-3279.989,-850.446,1
fortress,killsValue,1912.5,854.386,3019.219,1
fortress,deathsValue,1826.339,830.681,2811.574,1
fortress,completedTechnologies,0.027,-0.08,0.134,0
fortress,researchInputSpent,2.0,1.304,2.732,1
fortress,mobilized,-20.509,-28.563,-12.429,1
fortress,availableWorkforce,22.562,11.339,38.376,1
fortress,warCasualties,3.75,2.143,5.357,1
fortress,activeWars,-0.455,-0.562,-0.348,1
fortress,plannerRequests,-0.009,-0.027,0.0,0
fortress,targetSelections,3.625,1.089,6.286,1
fortress,retreats,0.232,0.107,0.366,1
fortress,regroups,0.286,0.152,0.429,1
fortress,reengagements,0.25,0.143,0.375,1
