profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,-0.009,-0.062,0.045,0
aggressor,collapsed,0.018,-0.036,0.071,0
aggressor,score,-605.286,-5050.29,3765.226,0
aggressor,population,-18.33,-72.601,35.065,0
aggressor,prosperity,-16.411,-77.487,38.412,0
aggressor,stability,15.5,-32.592,63.783,0
aggressor,armyValue,55.357,-696.975,818.884,0
aggressor,killsValue,-93.304,-1382.377,1183.616,0
aggressor,deathsValue,188.839,-741.585,1126.429,0
aggressor,completedTechnologies,1.134,1.08,1.196,1
aggressor,researchInputSpent,0.161,-0.429,0.679,0
aggressor,mobilized,-3.482,-9.171,1.394,0
aggressor,availableWorkforce,-8.17,-43.09,24.885,0
aggressor,warCasualties,0.045,-2.125,2.206,0
aggressor,activeWars,-0.295,-0.473,-0.116,1
aggressor,plannerRequests,0.125,0.036,0.214,1
aggressor,targetSelections,0.027,-3.482,3.616,0
aggressor,retreats,0.054,-0.232,0.339,0
aggressor,regroups,0.098,-0.964,1.107,0
aggressor,reengagements,0.054,-0.946,1.018,0
economist,scoreLead,0.0,-0.062,0.062,0
economist,collapsed,0.0,0.0,0.0,0
economist,score,-3433.902,-6655.753,-414.989,1
economist,population,-0.411,-1.724,0.938,0
economist,prosperity,-0.054,-2.491,2.35,0
economist,stability,14.768,3.705,26.332,1
economist,armyValue,-400.446,-1106.942,374.118,0
economist,killsValue,290.179,-373.717,978.147,0
economist,deathsValue,195.982,-537.545,901.797,0
economist,completedTechnologies,1.018,0.982,1.054,1
economist,researchInputSpent,-0.214,-0.607,0.143,0
economist,mobilized,0.134,-5.867,5.973,0
economist,availableWorkforce,-0.545,-6.018,5.25,0
economist,warCasualties,0.411,-0.956,1.643,0
economist,activeWars,-0.152,-0.268,-0.045,1
economist,plannerRequests,-0.009,-0.027,0.0,0
economist,targetSelections,0.777,-0.509,2.116,0
economist,retreats,0.009,-0.036,0.062,0
economist,regroups,0.062,0.009,0.125,1
economist,reengagements,0.036,-0.009,0.08,0
technologist,scoreLead,0.036,-0.009,0.089,0
technologist,collapsed,-0.009,-0.036,0.018,0
technologist,score,3484.964,264.143,6915.429,1
technologist,population,1.384,-33.367,36.805,0
technologist,prosperity,9.795,-18.832,38.325,0
technologist,stability,14.823,-16.338,46.576,0
technologist,armyValue,158.929,-526.808,894.654,0
technologist,killsValue,-294.643,-864.297,296.462,0
technologist,deathsValue,-956.25,-2105.391,178.181,0
technologist,completedTechnologies,2.116,1.991,2.25,1
technologist,researchInputSpent,-24.714,-29.036,-20.696,1
technologist,mobilized,-2.08,-7.403,3.17,0
technologist,availableWorkforce,3.25,-18.795,27.455,0
technologist,warCasualties,-1.17,-3.455,1.009,0
technologist,activeWars,-0.045,-0.143,0.045,0
technologist,plannerRequests,-0.036,-0.098,0.027,0
technologist,targetSelections,-2.964,-5.787,-0.419,1
technologist,retreats,-0.134,-0.321,0.036,0
technologist,regroups,-0.125,-0.304,0.054,0
technologist,reengagements,-0.009,-0.161,0.143,0
fortress,scoreLead,-0.027,-0.098,0.045,0
fortress,collapsed,0.009,0.0,0.027,0
fortress,score,205.536,-2392.721,2591.05,0
fortress,population,-8.866,-27.983,1.054,0
fortress,prosperity,-3.634,-24.427,7.474,0
fortress,stability,16.714,-2.486,32.34,0
fortress,armyValue,-262.054,-863.493,295.134,0
fortress,killsValue,-375.893,-1077.266,299.598,0
fortress,deathsValue,87.054,-549.587,851.384,0
fortress,completedTechnologies,1.259,1.17,1.348,1
fortress,researchInputSpent,0.25,-0.268,0.786,0
fortress,mobilized,-13.473,-21.251,-6.455,1
fortress,availableWorkforce,7.946,-7.475,19.492,0
fortress,warCasualties,-0.277,-1.295,0.857,0
fortress,activeWars,-0.205,-0.304,-0.116,1
fortress,plannerRequests,0.009,0.0,0.027,0
fortress,targetSelections,-0.482,-2.197,1.501,0
fortress,retreats,0.027,-0.027,0.098,0
fortress,regroups,0.062,0.0,0.152,0
fortress,reengagements,0.054,0.009,0.107,1
