run,pairing,matchesEverAtWar,matches
dip003-candidate-112-v1,aggressor / economist,105,112
dip003-candidate-112-v1,aggressor / fortress,84,112
dip003-candidate-112-v1,aggressor / technologist,112,112
dip003-candidate-112-v1,economist / fortress,5,112
dip003-candidate-112-v1,economist / technologist,21,112
dip003-candidate-112-v1,fortress / technologist,9,112
dip004-candidate-112-v1,aggressor / economist,109,112
dip004-candidate-112-v1,aggressor / fortress,102,112
dip004-candidate-112-v1,aggressor / technologist,112,112
dip004-candidate-112-v1,economist / fortress,2,112
dip004-candidate-112-v1,economist / technologist,16,112
dip004-candidate-112-v1,fortress / technologist,12,112
