run,metric,key,value
baseline-long-112-v1,survivors,1,11
baseline-long-112-v1,survivors,2,53
baseline-long-112-v1,survivors,3,46
baseline-long-112-v1,survivors,4,2
baseline-long-112-v1,collapsedFactions,total,185
baseline-long-112-v1,naturalVictories,total,5
baseline-long-112-v1,pairsEverAtWar,total,551
dip005-candidate-112-v1,survivors,1,15
dip005-candidate-112-v1,survivors,2,58
dip005-candidate-112-v1,survivors,3,35
dip005-candidate-112-v1,survivors,4,4
dip005-candidate-112-v1,collapsedFactions,total,196
dip005-candidate-112-v1,naturalVictories,total,7
dip005-candidate-112-v1,pairsEverAtWar,total,672
