profile,field,mean,ci95Low,ci95High,significant
aggressor,scoreLead,0.071,0.027,0.125,1
aggressor,collapsed,-0.143,-0.223,-0.062,1
aggressor,score,104864.75,64782.423,149806.822,1
aggressor,population,166.973,86.11,252.762,1
aggressor,prosperity,165.125,83.204,246.923,1
aggressor,stability,158.705,83.362,234.892,1
aggressor,armyValue,18512.054,8435.603,30253.527,1
aggressor,killsValue,43030.357,30284.52,56141.797,1
aggressor,deathsValue,34583.929,24816.054,44284.056,1
aggressor,completedTechnologies,1.134,0.848,1.42,1
aggressor,researchInputSpent,41.161,27.625,53.948,1
aggressor,mobilized,25.554,13.062,39.001,1
aggressor,availableWorkforce,57.625,31.401,86.922,1
aggressor,warCasualties,38.696,17.2,60.467,1
aggressor,activeWars,-0.018,-0.116,0.08,0
aggressor,plannerRequests,0.17,0.08,0.268,1
aggressor,targetSelections,57.92,35.418,81.082,1
aggressor,retreats,1.554,0.562,2.545,1
aggressor,regroups,14.152,7.124,21.519,1
aggressor,reengagements,13.33,6.48,20.724,1
aggressor,scoreShare,68.852,41.783,98.785,1
aggressor,performanceDelta,8.113,-3.775,20.856,0
economist,scoreLead,0.018,-0.107,0.143,0
economist,collapsed,0.018,-0.08,0.107,0
economist,score,15634.42,-80136.244,107752.863,0
economist,population,-55.188,-186.717,87.412,0
economist,prosperity,-23.646,-106.348,60.916,0
economist,stability,-23.558,-105.106,58.352,0
economist,armyValue,-5850.446,-36907.578,27676.261,0
economist,killsValue,22496.429,4722.076,40990.792,1
economist,deathsValue,25260.893,6132.496,44525.741,1
economist,completedTechnologies,-0.027,-0.134,0.08,0
economist,researchInputSpent,-0.786,-9.752,8.019,0
economist,mobilized,-16.955,-43.448,9.484,0
economist,availableWorkforce,-27.804,-78.587,26.53,0
economist,warCasualties,33.161,-1.257,67.554,0
economist,activeWars,-0.009,-0.116,0.098,0
economist,plannerRequests,0.045,0.0,0.098,0
economist,targetSelections,32.295,9.696,53.93,1
economist,retreats,0.688,0.027,1.384,1
economist,regroups,2.491,0.714,4.411,1
economist,reengagements,2.58,0.875,4.384,1
economist,scoreShare,10.142,-41.926,62.906,0
economist,performanceDelta,-0.791,-20.749,18.808,0
technologist,scoreLead,-0.134,-0.232,-0.035,1
technologist,collapsed,0.179,0.062,0.286,1
technologist,score,-149554.393,-245834.434,-57478.578,1
technologist,population,-231.062,-361.259,-91.932,1
technologist,prosperity,-139.569,-240.727,-41.567,1
technologist,stability,-137.26,-229.253,-38.253,1
technologist,armyValue,-61772.768,-93332.478,-29557.991,1
technologist,killsValue,6729.911,-14584.911,27246.607,0
technologist,deathsValue,19314.821,3055.44,35772.699,1
technologist,completedTechnologies,-0.009,-0.125,0.107,0
technologist,researchInputSpent,3.446,1.214,5.821,1
technologist,mobilized,-44.464,-69.656,-19.627,1
technologist,availableWorkforce,-95.821,-143.632,-46.458,1
technologist,warCasualties,6.839,-30.503,42.83,0
technologist,activeWars,-0.071,-0.17,0.018,0
technologist,plannerRequests,0.188,0.062,0.312,1
technologist,targetSelections,11.777,-11.155,34.519,0
technologist,retreats,0.446,-0.384,1.268,0
technologist,regroups,-0.134,-1.938,1.732,0
technologist,reengagements,-0.098,-1.795,1.768,0
technologist,scoreShare,-65.263,-113.917,-20.379,1
technologist,performanceDelta,-14.913,-33.026,3.444,0
fortress,scoreLead,0.045,-0.054,0.143,0
fortress,collapsed,0.071,-0.027,0.17,0
fortress,score,-49218.929,-134379.591,40388.63,0
fortress,population,-187.089,-319.946,-60.066,1
fortress,prosperity,-73.244,-164.359,16.735,0
fortress,stability,-72.928,-169.874,18.391,0
fortress,armyValue,-42110.268,-71933.393,-12746.574,1
fortress,killsValue,34242.411,13830.234,55220.491,1
fortress,deathsValue,28588.839,11848.391,46502.022,1
fortress,completedTechnologies,0.036,-0.089,0.17,0
fortress,researchInputSpent,-2.25,-11.286,6.376,0
fortress,mobilized,-40.134,-63.689,-14.825,1
fortress,availableWorkforce,-82.732,-130.281,-37.288,1
fortress,warCasualties,30.009,-3.392,61.468,0
fortress,activeWars,-0.009,-0.098,0.089,0
fortress,plannerRequests,0.25,0.098,0.411,1
fortress,targetSelections,41.696,17.264,66.179,1
fortress,retreats,0.554,-0.018,1.134,0
fortress,regroups,1.107,-0.554,2.777,0
fortress,reengagements,0.768,-0.857,2.366,0
fortress,scoreShare,-13.732,-61.497,35.342,0
fortress,performanceDelta,7.591,-10.007,25.657,0
